PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010012012161;BALA LED 12W CUADRAD. BLANCA 6500K MB6654         ;                                                            ;0,00 ; $ 11.800 ;0,00 
0010012012343;BALA LED INCRUS 18W SATIN 6500K KALIDO PR-18      ;                                                            ;0,00 ; $ -   ;0,00 
0010022220101;CARGADOR PILA 9V BIONICARE C/1PILA                ;                                                            ;0,00 ; $ 22.600 ;0,00 
0010025122589;SPOT LED 5W 4000K 2LUCES SPOT03-3X5W LEXMANA      ;                                                            ;0,00 ; $ -   ;0,00 
0010034390660;SENSOR MONOXIDO DE CARBONO MQ7                    ;                                                            ;0,00 ; $ 11.800 ;0,00 
0010039392127;INVERSOR 12V 225W PACO PI250-12                   ;                                                            ;0,00 ; $ -   ;0,00 
0010039392158;INVERSOR 12V 600W PACO                            ;                                                            ;1,00 ; $ -   ;255.000,00 
0150001000001;CAPACITACIÓN                                      ;                                                            ;0,00 ; $ -   ;0,00 
0160001000001;CAPACITACION                                      ;                                                            ;0,00 ; $ -   ;0,00 
0010064006551;BAFLE MULTIMEDIA                                  ;                                                            ;0,00 ; $ 38.000 ;0,00 
0010015015619;REFLECTOR ALTA POTENCIA 20W 3500K                 ; 15394302                                                   ;0,00 ; $ 31.000 ;0,00 
0010012122543;SPOT GU10 X 2 LUCES 5W EN LED LEXMANA LN828-2     ;****                                                        ;0,00 ; $ 114.900 ;0,00 
0010012122548;SPOT GU10 X 3 LUZ DE 5W EN LED LEXMANA LN827-3    ;*****                                                       ;0,00 ; $ 140.400 ;0,00 
0010012012213;SPOT LED 1 LUZ 5W GU10 LEXMANA LN815              ;******                                                      ;0,00 ; $ 38.000 ;0,00 
0010012122549;SPOT GU10 X 4 LUZ DE 5W EN LED LEXMANA LN828-4    ;********                                                    ;0,00 ; $ 227.700 ;0,00 
0010012012216;SPOT DE 1LUZ LED 5W GU10 LEXMANA LN827-1          ;*/*/*/                                                      ;0,00 ; $ 70.000 ;0,00 
0010012122507;SPOT GU10 X 1 LUZ DE 5W EN LED LEXMANA LN828-1    ;*//*//                                                      ;0,00 ; $ 59.400 ;0,00 
0010012122421;BALA LED PLANA CIRCULAR 6W 3500K MB0333 MAXBRIGHT ;*////////////                                               ;0,00 ; $ 7.600 ;0,00 
